"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"","T24","DDR_A5","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_CLK_N"
"","T25","DDR_DQS1P","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQS1_P"
"","U3","PZ9","I/O","","","","RCC_MCO_2","","SPI8_RDY","MDF1_CKI5","","LPUART1_TX","LPTIM4_ETR","I2C8_SDA","","LPTIM3_CH2","I3C4_SDA","","","",""
"","U5","PI8","I/O","","","","","","","","","","","","","","","","","",""
"","U7","PZ1","I/O","","","","","LPTIM3_CH1","SPI8_MISO","TIM8_CH2","","LPUART1_RX","LPTIM5_ETR","I2C8_SCL","I2C8_SMBA","","I3C4_SCL","","","",""
"","U21","DDR_A0","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_CKE"
"","U23","DDR_A4","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_CLK_P"
"","U25","DDR_DQ15","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ15"
"","U26","DDR_DQM1","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQM1"
"","V1","PZ8","I/O","","","","","LPTIM3_IN1","SPI8_MISO","MDF1_SDI5","ADF1_SDI0","LPUART1_RX","LPTIM4_CH1","I2C8_SMBA","LPTIM5_ETR","","","","","",""
"","V2","PZ7","I/O","","","","","","SPI8_MOSI","MDF1_CCK1","ADF1_CCK1","LPUART1_TX","LPTIM5_IN1","","","LPTIM3_CH2","","","","",""
"","V3","PZ4","I/O","","","DEBUG_DBTRGI","DEBUG_DBTRGO","RCC_MCO_2","SPI8_RDY","MDF1_CCK1","ADF1_CCK1","LPUART1_RX","LPTIM4_CH1","I2C8_SCL","","","I3C4_SCL","","","",""
"","V4","PZ6","I/O","","","DEBUG_DBTRGI","DEBUG_DBTRGO","","SPI8_NSS","TIM8_CH3","ADF1_SDI0","LPUART1_CTS","LPTIM5_OUT","","","LPTIM4_CH2","","","","",""
"","V22","DDR_A8","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A3"
"","V24","DDR_A2","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_CSN"
"","V25","DDR_DQ14","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ14"
"","V26","DDR_DQ12","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ12"
"","V27","DDR_DQ13","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ13"
"","W2","PDR_ON","MonoIO","","","","","","","","","","","","","","","","","","VDDA_1V8"
"","W3","NRSTC1MS","Reset","","","","","","","","","","","","","","","","","","/NRSTC1MS"
"","W5","PZ2","I/O","","","","","LPTIM3_CH1","SPI8_SCK","","ADF1_CCK0","LPUART1_DE/LPUART1_RTS","LPTIM4_ETR","I2C8_SCL","","","I3C4_SCL","","","",""
"","W7","PC13","Output","GPIO_Output","PMIC_WAKEUP","","","","","","","","","","","","","","","","/PMIC_WAKEUPn"
"","W21","DDR_A25","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A5"
"","W23","DDR_A31","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A12"
"","W25","DDR_DQ4","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ4"
"","W26","DDR_DQ6","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ6"
"","W27","DDR_DQ5","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ5"
"","Y3","BOOT0","Boot","","","","","","","","","","","","","","","","","","/BOOT0"
"","Y6","PZ3","I/O","","","DEBUG_DBTRGI","DEBUG_DBTRGO","LPTIM3_ETR","SPI8_NSS","MDF1_SDI5","ADF1_SDI0","LPUART1_CTS","LPTIM4_IN1","I2C8_SDA","","LPTIM4_CH2","I3C4_SDA","","","",""
"","Y22","DDR_A29","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A1"
"","Y24","DDR_A6","MonoIO","","","","","","","","","","","","","","","","","",""
"","Y25","DDR_DQ7","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ7"
"","AA1","OSC32_OUT","MonoIO","","","","","","","","","","","","","","","","","",""
"","AA2","OSC32_IN","MonoIO","","","","","","","","","","","","","","","","","",""
"","AA3","BOOT1","Boot","","","","","","","","","","","","","","","","","","/BOOT1"
"","AA5","JTCK-SWCLK","MonoIO","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","","","","","/JTCK_SWCLK"
"","AA17","PA8","I/O","","","","LPTIM2_CH2","SPI7_NSS","","SAI1_FS_B","","USART1_CK","","USART2_RX","I2C5_SCL","","","LTDC_B2","DCMIPP_D4/DCMI_D4/PSSI_D4","",""
"","AA19","UCPD1_CC2","MonoIO","","","","","","","","","","","","","","","","","","/USBPD_CC2"
"","AA21","DDR_A30","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A7"
"","AA23","DDR_A27","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_BA1"
"","AA25","DDR_DQS0P","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQS0_P"
"","AA26","DDR_DQS0N","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQS0_N"
"","AB1","BOOT2","Boot","","","","","","","","","","","","","","","","","","/BOOT2"
"","AB2","BOOT3","Boot","","","","","","","","","","","","","","","","","","GND"
"","AB3","VDDA18AON","Power","","","","","","","","","","","","","","","","","","VDDA_1V8"
"","AB4","PWR_CPU_ON","MonoIO","","","","","","","","","","","","","","","","","","/PWR_CPU_ON"
"","AB6","VDDA18ADC","Power","","","","","","","","","","","","","","","","","","Net-(U1G-VDDA18ADC)"
"","AB12","PA14","I/O","","","","SPI8_NSS","LPTIM2_CH2","","SAI4_FS_B","MDF1_CCK1","","","","","ETH1_MII_RX_CLK/ETH1_RGMII_RX_CLK/ETH1_RMII_REF_CLK","","","","",""
"","AB14","PC0","I/O","","","","LPTIM1_CH1","","SPI6_SCK","SAI3_MCLK_B","USART6_TX","","","","DCMIPP_D0/DCMI_D0/PSSI_D0","ETH2_MII_RX_CLK/ETH2_RMII_REF_CLK","ETH1_MII_TX_CLK","ETH1_RGMII_GTX_CLK","LTDC_G7","",""
"","AB18","UCPD1_CC1","MonoIO","","","","","","","","","","","","","","","","","","/USBPD_CC1"
"","AB20","VDDCOMBOPHY","Power","","","","","","","","","","","","","","","","","","Net-(U1G-VDDCOMBOPHY)"
"","AB22","VDDCOMBOPHYTX","Power","","","","","","","","","","","","","","","","","","Net-(U1G-VDDCOMBOPHY)"
"","AB24","DDR_A26","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A9"
"","AB25","DDR_DQM0","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQM0"
"","AB26","DDR_DQ0","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ0"
"","AB27","DDR_DQ2","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ2"
"","AC2","JTDO-TRACESWO","MonoIO","DEBUG_JTDO-SWO","","","","","","","","","","","","","","","","","/JTDO_SWO"
"","AC5","VSSA","Power","","","","","","","","","","","","","","","","","","GND"
"","AC7","PF6","I/O","","","","RTC_OUT2","","SAI3_MCLK_B","","","USART6_CK","TIM12_CH1","","I2C3_SMBA","ETH2_MII_RX_CLK/ETH2_RGMII_RX_CLK/ETH2_RMII_REF_CLK","","","LTDC_B0","",""
"","AC11","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","AC17","PH2","I/O","","","","LPTIM2_CH1","SPI7_RDY","SPDIFRX_IN3","SAI1_SCK_B","I3C3_SDA","","TIM16_CH1","I2C5_SDA","I2C3_SDA","","","","","ETH3_RGMII_GTX_CLK",""
"","AC19","PA1","I/O","","","","","SPI6_MISO","","SAI3_SD_A","USART1_DE/USART1_RTS","USART6_CK","TIM4_CH2","I2C4_SDA","I2C6_SDA","","LTDC_R3","","DCMIPP_D5/DCMI_D5/PSSI_D5","ETH3_PHY_INTN",""
"","AC21","VDDPCIECLK","Power","","","","","","","","","","","","","","","","","","Net-(U1G-VDDCOMBOPHY)"
"","AC23","DDR_A28","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A13"
"","AC25","DDR_A7","MonoIO","","","","","","","","","","","","","","","","","",""
"","AC26","DDR_DQ1","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ1"
"","AC27","DDR_DQ3","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ3"
