"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"","1K4","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1K6","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1K8","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1K10","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1K12","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1L1","VDD","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","1L3","VDD","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","1L5","VDD","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","1L7","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1L9","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1L11","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","1M2","VDD","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","1M4","VDD","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","1M6","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1M8","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1M10","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1M12","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
